artist,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19
DOPECLVB,0.21380274884598796,0.0002046658958736146,0.008220306669550969,0.04549248812565484,0.020711257870044495,0.09429589074861483,0.000176785223360184,0.05941350423388653,0.00021550185134303553,0.08757820096229729,0.23480386356918204,0.019802142210882574,0.047933600792569496,0.0050159152491661835,0.001888438086147445,0.010803462003733577,0.06727816807675668,0.016946916958121665,0.00019173754227639557,0.06522440508455014
Boulevard Depo,0.25283555536434027,0.008798561095095416,0.026870949224968868,0.09399445855092735,0.05391964880557757,0.03474174084564586,0.00020909189429689395,0.130716335047476,0.006830754541631625,0.04793825809804375,0.1655586013319154,0.005205971735290245,0.025281568822239017,0.006393933264288547,0.006422990420382166,0.00345456817761487,0.09815158208758636,0.013026062027268595,0.007242834686939978,0.012406533978471147
Yanix,0.11774527245284828,0.0020807236982328804,0.07376905331408526,0.008400880866516603,0.01763820369744616,0.0536358426620194,0.0025575923053193297,0.13778754541937685,0.03695553910054505,0.0709854853436786,0.23146908099510102,0.0834341226610613,0.006167010946438628,0.007435217789832018,0.016780568886489478,0.008830914862526684,0.11033674916931585,0.00485566837742397,0.0030947905055331783,0.006039736946209444
Неизвестен,0.24843737820913256,0.00043222145135377206,0.06892078331342667,0.0004470186581606405,0.0034425844277002973,0.0307256038075828,0.008222882059071072,0.01467698125967138,0.2454739106024587,0.010672877706131588,0.11046674631288665,0.004823885945464856,0.0003364174694377903,0.00032169947962403536,0.16814852081720288,0.0005526454180745916,0.03469754604909234,0.02754540066352545,0.0168970740400428,0.0047578223099590975
Потратил тыщу баксов,0.11067138913430241,0.00022094314646039397,0.04343052699136148,0.02010055872361474,0.30105800255810705,0.11041055920166758,0.00019084509923239726,0.09232155484847765,0.023024928451291872,0.04888392000303328,0.09614856057738956,0.00022548363517350514,0.020840643540897923,0.00016444648365017092,0.0003720684718539712,0.00028250154760139256,0.12375219503034321,0.00018470496209044765,0.0002069865788080628,0.0075091810146429416
Big Russian Boss,0.18818621200983432,0.004288251328722378,0.012061196417947126,0.06311468051839929,0.016143315662282613,0.0430332724957603,0.02032283219219059,0.16650832961992662,0.002088089744567644,0.11191878877153076,0.05949655300438733,0.14753298814685586,0.0022816140924262493,0.00803347131684321,0.05943797772396752,0.00022684895199695792,0.06711446523010813,0.019578611709966578,0.008503472499733789,0.0001290285625527495
No Limit,0.1826323364553953,0.00023658697583003237,0.364806551662286,0.0002446865854921475,0.0004212197492962151,0.08990622796381259,0.00020435784869631717,0.039905707545181676,0.00024911298657123677,0.0003198921264456165,0.26594460016276283,0.00024344600575385266,0.00018414633209833543,0.00017609007258683707,0.031162442879365176,0.0003025039866763743,0.02246860535970044,0.00019778295943746597,0.00022164223332158574,0.0001720601092899742
Хайд,0.1560091319033076,0.00018017210427315837,0.06027454864771354,0.00018634035591096295,0.00032077804347884484,0.15129331643949687,0.0001556281150099416,0.6289246452140577,0.0001897112490641762,0.00024361295777547583,0.0005088544284267227,0.00018387473745734044,0.00014023608770649343,0.0001341008834701158,0.00030341105922829725,0.00023037103428111513,0.00027082285806529643,0.00015062103351606634,0.00016879097794421748,0.00013103186981606684
Loqiemean,0.12211540721333626,0.0037426891004540197,0.016893247159227708,0.0076672349721141,0.007136120432838489,0.06642448582825376,0.000808774490693436,0.3188516077814621,0.008688619798688025,0.06176989060944546,0.09038076243300878,0.07495964942359284,0.017688768011128342,0.05502172978570701,0.08129120599671934,0.005868990219840561,0.014991435374009552,0.008439523671033232,0.006385166667343896,0.03087469103110307
"Хайд ""Нерв""",0.15451590476249086,0.0001802977030031828,0.04909142775391479,0.00018647024699715019,0.00032100162434694736,0.15034980837846096,0.00015573658796146412,0.6353573700204669,0.00018984348275796908,0.00024378276050487251,0.0005092183048711218,0.007368686494235669,0.00014033383704143917,0.00013419435499835585,0.0003036225632986149,0.00023053161208126658,0.00027101166357195355,0.0001507260143803893,0.00016890863217512033,0.000131123202441059
Markul,0.07052443030050955,0.009256358430591284,0.14863044833242603,0.014194036692614515,0.05497448021458495,0.23112365985172195,0.004912669609320992,0.21759047877875226,0.007607870058604093,0.04745014730304552,0.12199228926471917,0.008636107374218,0.010556188335528698,0.0005627642904826759,0.02002500702941322,0.004859433828586135,0.018090880237110904,0.0031305461038534867,0.0023728003997036838,0.003509403564212875
MC NO LIMIT,0.1826201656475406,0.00023658666994301234,0.36489215082342097,0.00024468627909677654,0.0004212191989905962,0.08987791757033653,0.00020435757393589987,0.03989715550086157,0.0002491126507942289,0.00031989169891486385,0.2659180594091479,0.000241482151649771,0.00018414608771026678,0.0001760898432563113,0.031157741470644543,0.0003025035893407684,0.022465249326188836,0.00019778269964161718,0.0002216419283725336,0.00017205988021237858
Маркул,0.15601746434864885,0.00018017209017809742,0.060275844058658525,0.0001863403413333529,0.0003207780183840273,0.15128081743081725,0.00015562810283498377,0.6289275166401315,0.00018971123422285749,0.00024361293871736747,0.0005088543886184836,0.00018387472307261843,0.00014023607673567076,0.0001341008729792569,0.00030341103549211794,0.00023037101625893693,0.0002708228368785278,0.000150621021732818,0.00016879096473951447,0.00013103185956530022
Miyagi,0.01956369578196999,0.000453442488311129,0.02255549588114126,0.0053675745586919685,0.30148837521583965,0.09917786366324141,0.00018123247272401545,0.03153660042622611,0.1124304786265556,0.010197527246889533,0.08378428100739974,0.0005941384774650856,0.00016330811089037794,0.00015616351666063725,0.20309917150722545,0.058273143339468036,0.00031537917692129485,0.00017540160745798257,0.006257546999651355,0.04422917989526935
