artist,n_songs,n_tokens,ttr,hapax_ratio,mat_density,sentiment_lex,top_emotions,year_min,year_max
Детские Песни,2,320,0.575,0.425,0.0,-0.025,"fear:6,anger:2,disgust:2",2025.0,2025.0
Детские песни,2,330,0.42424242424242425,0.18787878787878787,0.0,0.012121212121212121,,2016.0,2016.0
Ева Польна,2,396,0.51010101010101,0.30303030303030304,0.0,0.050505050505050504,joy:20,,
Егор Крид/KReeD,2,464,0.3652564991698716,0.2077317529369733,0.0,0.014469453376205787,"joy:9,sadness:1,surprise:1",,
Зарина,2,1042,0.508637236084453,0.3512476007677543,0.0,0.026871401151631478,"joy:22,sadness:6,anger:2",,
Звери,2,290,0.4689655172413793,0.2896551724137931,0.006896551724137931,0.041379310344827586,joy:12,2003.0,2003.0
Зимавсегда,2,246,0.4634146341463415,0.23577235772357724,0.0,0.0,"sadness:4,fear:2,joy:2",,
Игорь Белый,2,546,0.6227106227106227,0.5018315018315018,0.0,0.01098901098901099,"joy:6,sadness:6,anger:4",,
Игорь Растеряев,2,382,0.7248355263157895,0.5964912280701754,0.0,-0.015816885964912278,"anger:7,sadness:5,joy:4",2010.0,2011.0
Иезекииль 25:17 [://muz-.ru],2,903,0.613682277318641,0.4919191919191919,0.0,0.015671870217324763,"joy:9,anger:2,disgust:1",,
Ирина Туманова,2,128,0.71875,0.59375,0.0,0.09375,"joy:14,disgust:2,sadness:2",,
Йорш,2,276,0.6137249200348939,0.4634777551613841,0.06315789473684211,0.035649898226228556,"joy:5,fear:1",,
Комбинация,2,320,0.275,0.0875,0.0,-0.0125,"sadness:10,joy:6,anger:4",,
Красное Дерево,2,500,0.568,0.424,0.004,0.016,"joy:8,anger:4,disgust:2",,
Крип-А-Крип feat Drago,2,744,0.5483870967741935,0.41935483870967744,0.010752688172043012,0.013440860215053764,"joy:14,disgust:6,fear:2",,
Линда,2,596,0.37919463087248323,0.2483221476510067,0.0,-0.003355704697986577,"sadness:14,joy:8",,
МНОГОТОЧИЕ,2,896,0.5959821428571429,0.4642857142857143,0.026785714285714284,0.044642857142857144,"joy:16,sadness:4,anger:2",,
Майя Кристалинская,2,171,0.8479064039408867,0.7426108374384237,0.0,0.058497536945812806,joy:6,,
Максим Демах,2,609,0.5705557211369117,0.40786978080039016,0.003393665158371041,-0.0010634838919446176,"joy:8,anger:4,disgust:2",,
Максим Леонидов,2,310,0.5419354838709678,0.4129032258064516,0.0,-0.012903225806451613,anger:2,2006.0,2006.0
Мария Чайковская,2,230,0.7130434782608696,0.6173913043478261,0.0,0.08695652173913043,"joy:20,sadness:2",,
