node,community,degree,weighted_degree,song_count,corpus_artist
Владимир Высоцкий,347,0,0.0,1,True
Братья Карамазовы,348,0,0.0,1,True
Браток,349,0,0.0,10,True
Джиз,350,0,0.0,11,True
Barry Gibb,351,0,0.0,1,True
Madwayz LOC,352,0,0.0,2,True
SD AND SCHOKK,353,0,0.0,1,True
OSLIKt,354,0,0.0,1,True
Стрелки,355,0,0.0,1,True
✵ Бек✵,356,0,0.0,1,True
HULIGAN,357,0,0.0,1,True
МЖ,358,0,0.0,1,True
Лизоркин,359,0,0.0,4,True
Иллет - Сопряжение сфер,360,0,0.0,1,True
Ясвена,361,0,0.0,1,True
4SGM,362,0,0.0,1,True
Сидоджи Дубоshit,363,0,0.0,1,True
Белый Аликорн,364,0,0.0,1,True
Kid,365,0,0.0,1,True
Сэт,366,0,0.0,1,True
Свобода воли,367,0,0.0,1,True
Мастер,368,0,0.0,2,True
10. Сплин,369,0,0.0,1,True
VOICE OF SATURN,370,0,0.0,1,True
Сплин,371,0,0.0,1,True
Dav,372,0,0.0,1,True
Враги,373,0,0.0,1,True
БАРТО,374,0,0.0,1,True
Сфера,375,0,0.0,10,True
Корж,376,1,1.0,16,True
маз корж — Я помню,376,1,1.0,0,False
Макс,377,0,0.0,1,True
Super Rags,378,0,0.0,1,True
Вэ,379,0,0.0,1,True
Абубакирова Гульфарида,380,0,0.0,1,True
ИСН,381,0,0.0,11,True
КрэФ,382,0,0.0,1,True
Лилия Биктимирова,383,0,0.0,1,True
Алина Булатова,384,0,0.0,1,True
Эмир Камалиев,385,0,0.0,1,True
Айгуль Бариева,386,0,0.0,1,True
Зиннур,387,0,0.0,1,True
Гөлфәридә Әбүбәкерова,388,0,0.0,1,True
Зи,389,0,0.0,1,True
Мишари Рашид Аль-Афаси,390,0,0.0,1,True
Фархетдинова Зайнап,391,0,0.0,1,True
Айсылу Мухамадиева,392,0,0.0,1,True
Гаяр Нуриманов,393,0,0.0,1,True
От Винта,394,0,0.0,1,True
Ot Vinta!,395,0,0.0,1,True
Ot vinta,396,0,0.0,1,True
9 ВАЛ,397,0,0.0,1,True
От Вінта,398,0,0.0,2,True
М8Л8Tx,399,0,0.0,1,True
Сокира Перуна,400,0,0.0,4,True
Нежеголь,401,0,0.0,1,True
